#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
14.135483,1.300734,949.808076,5.388220,5.388220,3539.438020
12.950359,1.192519,714.924943,5.597111,5.597111,850.912373
16.165164,1.142711,967.920397,5.351091,5.351091,3207.038652
15.180222,1.000594,858.758080,4.903762,4.903762,3296.073463
15.776635,0.694373,2100.436357,6.053281,6.053281,5093.480985
15.218852,1.004905,983.782545,4.959284,4.959284,4442.852183
16.095094,1.167139,1126.333395,6.857699,6.857699,6131.382409
14.462968,1.356440,897.472087,6.185569,6.185569,6730.102954
15.461932,1.540934,1310.842894,7.895514,7.895514,4375.813639
16.151601,1.576734,5167.748578,6.522868,6.522868,5333.609874
14.202490,1.346572,1177.729950,6.385232,6.385232,8149.258643
14.653721,1.552086,1360.985142,7.113234,7.113234,7144.312360
22.991404,2.312497,1397.804958,5.757395,5.757395,9633.536837
16.197920,2.102274,1461.754102,4.872372,4.872372,4295.681939
16.383864,1.373619,1814.866417,4.889812,4.889812,4437.882769
15.718409,1.301403,1461.242974,7.141229,7.141229,4034.375435
15.971878,1.211631,2551.023814,0.000000,0.000000,2568.213112
17.480328,1.361426,1366.433262,5.470712,5.470712,6701.989293
15.549310,1.447362,1825.993832,5.855259,5.855259,4268.226830
17.457130,4.279006,1438.486845,10.259364,10.259364,3898.841126
21.400916,1.398323,1531.654290,0.000000,0.000000,1554.456985
16.589528,1.298024,1566.687089,6.493308,6.493308,4407.247659
16.328135,1.133821,1485.735996,5.624015,5.624015,3819.899498
14.851116,1.360519,1751.230376,0.000000,0.000000,1767.446867
14.693032,1.105753,1524.763267,9.837325,9.837325,4824.942790
17.468303,1.714937,1326.498865,5.300607,5.300607,4136.982475
16.683485,1.268549,766.944170,0.000000,0.000000,784.899499
15.531230,1.393629,3066.544706,6.378858,6.378858,5889.444296
15.751152,1.510419,1402.823605,4.966561,4.966561,4254.496440
26.092863,2.163566,1259.753097,5.020461,5.020461,6109.265041
14.766471,1.588749,1293.150467,5.419613,5.419613,4235.172662
17.677017,1.776779,824.719345,0.000000,0.000000,844.175805
15.926772,1.608275,1546.112655,5.272126,5.272126,5280.124270
13.155784,1.425528,159.296058,0.000000,0.000000,173.880658
15.178090,0.905545,1284.988190,5.025979,5.025979,4113.263101
17.456516,1.087554,983.693111,0.000000,0.000000,1002.240823
18.994618,1.034025,1765.442188,6.357735,6.357735,4990.350753
18.567384,1.194890,310.370622,0.000000,0.000000,330.135534
16.753255,0.728483,1978.931949,4.509072,4.509072,4644.707476
18.221977,0.957547,2023.588337,4.509976,4.509976,4661.716941
17.744235,1.071910,985.896380,0.000000,0.000000,1004.715413
17.422030,1.272818,1565.922572,4.626305,4.626305,6461.213002
23.342000,1.314997,237.393790,0.000000,0.000000,262.053603
19.042048,0.947400,1451.885430,5.788984,5.788984,6834.011307
21.803715,1.293155,2271.205230,5.210757,5.210757,5552.360869
22.054230,1.161809,2000.232515,5.478953,5.478953,5087.568583
19.501904,1.337299,1516.706117,5.203352,5.203352,4259.122681
18.911793,1.178570,1106.078342,0.000000,0.000000,1126.173663
21.466658,1.108642,1702.789651,6.701247,6.701247,9807.523220
18.992222,1.740060,1376.241171,5.139374,5.139374,4703.190246
18.407093,1.420196,1237.208585,5.826109,5.826109,4741.766689
18.848268,1.554942,1321.811036,6.810795,6.810795,4679.192914
18.694250,1.852993,1448.754116,5.473342,5.473342,4625.305096
18.386511,1.325463,1068.107515,5.576064,5.576064,4815.133075
18.449935,1.521036,1101.222723,7.744587,7.744587,5090.920463
20.626626,1.504351,1065.364590,10.091482,10.091482,4939.627993
20.019933,1.463017,1285.757945,5.776755,5.776755,7059.419883
27.806956,2.540261,879.484463,5.071374,5.071374,7632.463515
22.835400,5.341004,920.891364,5.392364,5.392364,6493.930713
13.697625,1.527983,1000.976524,5.469818,5.469818,2969.868690
15.069740,1.382817,904.970612,9.317714,9.317714,3287.890676
17.900448,1.407313,1118.826598,6.937620,6.937620,4231.041411
19.853464,1.119686,965.021291,7.097877,7.097877,5730.820058
21.527079,1.051744,835.602384,5.712974,5.712974,3060.100131
20.831091,0.885792,787.057814,8.959286,8.959286,4947.266327
27.760846,1.067000,1025.643420,7.045733,7.045733,5189.671778
34.030960,1.586528,874.693511,5.519741,5.519741,5251.709484
21.255665,0.852462,1787.423413,6.575305,6.575305,7979.032639
19.438668,1.038002,1023.006014,4.841872,4.841872,10130.664493
14.599966,1.098334,838.021412,6.803234,6.803234,10985.946096
17.788269,6.018493,895.731581,7.777707,7.777707,12786.087288
16.953577,1.281537,799.743916,6.882733,6.882733,13233.168423
15.026230,1.233028,827.142002,5.605872,5.605872,13566.560769
15.357382,1.215419,698.327162,5.767681,5.767681,15487.181575
13.576990,1.296463,1160.928840,6.088110,6.088110,14988.838508
